"CustomerID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_Score","Segment"
12587,1322,1,144,5,1,1,"511","Recent but Infrequent"
12588,7999,1,214.9,3,1,1,"311","Others"
12589,5840,2,646.68,4,2,3,"423","Recent but Infrequent"
12590,28607,2,9864.26,1,2,5,"125","Others"
12591,39349,1,452.85,1,1,2,"112","Others"
12592,15533,2,437.6,2,2,2,"222","Others"
12593,17428,3,418.1,2,3,2,"232","Others"
12594,7565,10,3338.22,3,5,5,"355","Loyal Customers"
12596,9736,2,618.27,3,2,3,"323","Others"
12597,4064,4,3811.22,4,4,5,"445","Best Customers"
12598,1953,8,3023.08,5,5,5,"555","Best Customers"
12599,5958,7,1032.58,4,5,4,"454","Best Customers"
12600,5837,10,2599.04,4,5,5,"455","Best Customers"
12601,26170,5,577.06,1,4,3,"143","At Risk"
12602,10863,1,153.12,3,1,1,"311","Others"
12603,4419,1,739.2,4,1,3,"413","Recent but Infrequent"
12604,13947,2,254.18,2,2,2,"222","Others"
12607,11120,1,1579.51,3,1,4,"314","Others"
12609,13683,3,1126.85,2,3,4,"234","Others"
12610,4680,5,2099.54,4,4,5,"445","Best Customers"
12611,9917,1,1193.32,3,1,4,"314","Others"
12612,13237,1,704.04,2,1,3,"213","Others"
12613,10522,5,3344.38,3,4,5,"345","Loyal Customers"
12614,35869,1,315.6,1,1,2,"112","Others"
12615,7483,3,1868.34,3,3,4,"334","Loyal Customers"
12616,15975,2,713.3,2,2,3,"223","Others"
12617,5926,1,355.53,4,1,2,"412","Recent but Infrequent"
12618,4409,1,177.31,4,1,1,"411","Recent but Infrequent"
12619,3289,9,3641.24,4,5,5,"455","Best Customers"
12620,2889,3,1339.41,5,3,4,"534","Loyal Customers"
12621,321,20,13689.67,5,5,5,"555","Best Customers"
12622,30627,1,180.1,1,1,1,"111","Lost Customers"
12623,35593,1,305.1,1,1,2,"112","Others"
12624,17056,2,641.13,2,2,3,"223","Others"
12625,28709,2,2683.82,1,2,5,"125","Others"
12626,4724,9,6620.48,4,5,5,"455","Best Customers"
12627,2194,7,4478.53,5,5,5,"555","Best Customers"
12628,939,3,786.46,5,3,3,"533","Loyal Customers"
12630,2037,2,1270.88,5,2,4,"524","Recent but Infrequent"
12631,10534,1,640.5,3,1,3,"313","Others"
12633,10833,4,2163.98,3,4,5,"345","Loyal Customers"
12635,15354,2,1689.18,2,2,4,"224","Others"
12637,12255,8,6021.9,3,5,5,"355","Loyal Customers"
12638,6897,1,671.69,3,1,3,"313","Others"
12639,31310,1,486.1,1,1,2,"112","Others"
12640,4918,3,1174.58,4,3,4,"434","Loyal Customers"
12641,18144,1,185.9,2,1,1,"211","Others"
12642,5265,3,1013.26,4,3,4,"434","Loyal Customers"
12643,19380,6,3344.64,2,5,5,"255","At Risk"
12644,19542,1,477.91,2,1,2,"212","Others"
12645,6908,4,1775.18,3,4,4,"344","Loyal Customers"
12646,1034,2,1346.97,5,2,4,"524","Recent but Infrequent"
12647,4560,12,3722.82,4,5,5,"455","Best Customers"
12648,22166,1,318.05,2,1,2,"212","Others"
12649,17249,3,623.51,2,3,3,"233","Others"
12650,601,1,314.44,5,1,2,"512","Recent but Infrequent"
12651,41066,1,114,1,1,1,"111","Lost Customers"
12652,40611,1,919.98,1,1,3,"113","Others"
12653,21639,2,2209.85,2,2,5,"225","Others"
12654,2311,5,601.98,5,4,3,"543","Loyal Customers"
12656,3554,5,4051.17,4,4,5,"445","Best Customers"
12657,2394,4,1643.18,5,4,4,"544","Best Customers"
12658,3972,1,686.05,4,1,3,"413","Recent but Infrequent"
12659,6006,1,91.68,4,1,1,"411","Recent but Infrequent"
12660,2434,1,245.1,5,1,1,"511","Recent but Infrequent"
12662,17,11,3849.78,5,5,5,"555","Best Customers"
12664,1464,9,4881.88,5,5,5,"555","Best Customers"
12665,40070,1,63,1,1,1,"111","Lost Customers"
12667,10712,1,620.13,3,1,3,"313","Others"
12668,2493,4,3807.15,5,4,5,"545","Best Customers"
12669,21883,3,2744.03,2,3,5,"235","Others"
12670,2095,5,2996.05,5,4,5,"545","Best Customers"
12672,40466,1,225.9,1,1,1,"111","Lost Customers"
12673,1075,2,610.52,5,2,3,"523","Recent but Infrequent"
12674,7720,4,1970.6,3,4,4,"344","Loyal Customers"
12676,5068,6,1331.39,4,5,4,"454","Best Customers"
12678,8314,12,17628.46,3,5,5,"355","Loyal Customers"
12679,10789,4,1113.02,3,4,4,"344","Loyal Customers"
12680,0,4,862.81,5,4,3,"543","Loyal Customers"
12681,2851,22,13787.54,5,5,5,"555","Best Customers"
12682,834,31,12288.22,5,5,5,"555","Best Customers"
12683,881,15,8476.57,5,5,5,"555","Best Customers"
12684,1443,7,2283.63,5,5,5,"555","Best Customers"
12685,5703,6,2863.08,4,5,5,"455","Best Customers"
12686,44735,1,89.14,1,1,1,"111","Lost Customers"
12688,17974,1,4873.81,2,1,5,"215","Others"
12689,5500,2,1247.61,4,2,4,"424","Recent but Infrequent"
12690,28021,1,389.01,1,1,2,"112","Others"
12691,5671,6,1035.8,4,5,4,"454","Best Customers"
12693,19152,4,855.91,2,4,3,"243","At Risk"
12694,12465,2,869.67,3,2,3,"323","Others"
12695,1302,4,582.1,5,4,3,"543","Loyal Customers"
12697,5851,3,957.59,4,3,4,"434","Loyal Customers"
12700,1427,4,4939.99,5,4,5,"545","Best Customers"
12701,14009,2,797.71,2,2,3,"223","Others"
12702,4181,1,219,4,1,1,"411","Recent but Infrequent"
12703,12586,1,283.55,3,1,2,"312","Others"
12704,1306,8,2340.84,5,5,5,"555","Best Customers"
12705,3078,9,6868.29,4,5,5,"455","Best Customers"
12707,37117,1,603.42,1,1,3,"113","Others"
12708,6089,10,2712.91,4,5,5,"455","Best Customers"
12709,2961,15,9736.52,4,5,5,"455","Best Customers"
12710,16171,3,1149.02,2,3,4,"234","Others"
12712,5855,13,4396.13,4,5,5,"455","Best Customers"
12713,9,1,848.55,5,1,3,"513","Recent but Infrequent"
12714,1795,5,4708.86,5,4,5,"545","Best Customers"
12715,17048,1,353.86,2,1,2,"212","Others"
12716,851,2,1053.49,5,2,4,"524","Recent but Infrequent"
12717,21907,2,1030.98,2,2,4,"224","Others"
12718,12599,1,238.25,3,1,1,"311","Others"
12719,1078,2,644.95,5,2,3,"523","Recent but Infrequent"
12720,587,25,5781.73,5,5,5,"555","Best Customers"
12721,6538,6,2656.13,4,5,5,"455","Best Customers"
12722,14669,4,997.63,2,4,4,"244","At Risk"
12723,831,5,725.07,5,4,3,"543","Loyal Customers"
12724,1053,4,1031.41,5,4,4,"544","Best Customers"
12725,44565,1,427.8,1,1,2,"112","Others"
12726,5707,7,2609.1,4,5,5,"455","Best Customers"
12727,2242,7,3980.7,5,5,5,"555","Best Customers"
12728,12634,4,836.33,3,4,3,"343","Loyal Customers"
12729,17925,1,453.01,2,1,2,"212","Others"
12731,4915,12,18895.91,4,5,5,"455","Best Customers"
12732,25061,1,236.26,1,1,1,"111","Lost Customers"
12733,30943,1,383.95,1,1,2,"112","Others"
12734,41758,1,110.4,1,1,1,"111","Lost Customers"
12735,39052,2,779.57,1,2,3,"123","Others"
12736,40899,1,234,1,1,1,"111","Lost Customers"
12738,44747,1,155.35,1,1,1,"111","Lost Customers"
12739,13763,2,1013.04,2,2,4,"224","Others"
12740,11557,1,427.6,3,1,2,"312","Others"
12743,19926,2,546.43,2,2,3,"223","Others"
12744,9836,7,21279.29,3,5,5,"355","Loyal Customers"
12747,4483,10,3757.51,4,5,5,"455","Best Customers"
12748,7,208,33580.91,5,5,5,"555","Best Customers"
12749,837,5,4090.88,5,4,5,"545","Best Customers"
12750,19457,1,275.88,2,1,2,"212","Others"
12752,14281,1,4366.78,2,1,5,"215","Others"
12753,4664,6,21429.39,4,5,5,"455","Best Customers"
12754,31243,3,3010.74,1,3,5,"135","Others"
12755,35942,2,3811.95,1,2,5,"125","Others"
12756,14964,1,112.08,2,1,1,"211","Others"
12757,3124,13,7857.1,4,5,5,"455","Best Customers"
12758,18346,2,2791.59,2,2,5,"225","Others"
12759,9890,3,1531.44,3,3,4,"334","Loyal Customers"
12762,1434,2,1898.52,5,2,4,"524","Recent but Infrequent"
12763,20524,2,494.08,2,2,3,"223","Others"
12764,39311,1,1693.88,1,1,4,"114","Others"
12766,853,7,6989.63,5,5,5,"555","Best Customers"
12769,31386,1,1143.6,1,1,4,"114","Others"
12770,28542,1,1351.45,1,1,4,"114","Others"
12772,11088,1,892.47,3,1,3,"313","Others"
12775,3505,5,1386.04,4,4,4,"444","Best Customers"
12778,4113,6,822.23,4,5,3,"453","Loyal Customers"
12779,7588,8,3981.36,3,5,5,"355","Loyal Customers"
12781,11561,2,826.74,3,2,3,"323","Others"
12782,1042,5,2330.92,5,4,5,"545","Best Customers"
12783,6743,5,1825.33,4,4,4,"444","Best Customers"
12784,1797,2,574.42,5,2,3,"523","Recent but Infrequent"
12785,43276,1,311.95,1,1,2,"112","Others"
12787,2059,3,463.66,5,3,2,"532","Big Spenders (New)"
12789,11922,1,91.85,3,1,1,"311","Others"
12790,26481,1,324.92,1,1,2,"112","Others"
12791,45184,1,192.6,1,1,1,"111","Lost Customers"
12792,33690,1,400.54,1,1,2,"112","Others"
12793,41068,2,545.48,1,2,3,"123","Others"
12794,10110,2,860.41,3,2,3,"323","Others"
12795,3969,1,430.48,4,1,2,"412","Recent but Infrequent"
12797,43672,1,254.03,1,1,2,"112","Others"
12798,2089,3,6977.04,5,3,5,"535","Loyal Customers"
12802,25998,1,427.58,1,1,2,"112","Others"
12808,7488,3,483.65,3,3,2,"332","Others"
12809,24758,1,489.31,2,1,3,"213","Others"
12811,34021,3,514.85,1,3,3,"133","Others"
12812,8824,1,229.64,3,1,1,"311","Others"
12814,16768,1,125.92,2,1,1,"211","Others"
12815,21468,2,1063.46,2,2,4,"224","Others"
12816,16004,2,572.2,2,2,3,"223","Others"
12817,36017,1,166.04,1,1,1,"111","Lost Customers"
12818,34094,1,1542.08,1,1,4,"114","Others"
12820,614,4,942.34,5,4,4,"544","Best Customers"
12821,29108,1,92.72,1,1,1,"111","Lost Customers"
12822,12563,2,948.88,3,2,4,"324","Others"
12823,13373,5,1759.5,2,4,4,"244","At Risk"
12824,10941,1,397.12,3,1,2,"312","Others"
12826,565,7,1474.72,5,5,4,"554","Best Customers"
12827,1149,3,430.15,5,3,2,"532","Big Spenders (New)"
12828,582,6,1018.71,5,5,4,"554","Best Customers"
12829,41167,2,293,1,2,2,"122","Others"
12830,7575,6,6814.64,3,5,5,"355","Loyal Customers"
12831,34221,1,215.05,1,1,1,"111","Lost Customers"
12832,6706,2,383.03,4,2,2,"422","Recent but Infrequent"
12833,21323,1,417.38,2,1,2,"212","Others"
12834,36241,1,312.38,1,1,2,"112","Others"
12836,10910,4,2612.86,3,4,5,"345","Loyal Customers"
12837,24270,1,134.1,2,1,1,"211","Others"
12838,6917,2,683.13,3,2,3,"323","Others"
12839,2456,13,4839.03,5,5,5,"555","Best Customers"
12840,21139,4,2726.77,2,4,5,"245","At Risk"
12841,986,25,4022.35,5,5,5,"555","Best Customers"
12842,12440,2,1118.99,3,2,4,"324","Others"
12843,11953,8,1702.26,3,5,4,"354","Loyal Customers"
12844,5959,2,325.96,4,2,2,"422","Recent but Infrequent"
12845,34734,4,354.09,1,4,2,"142","At Risk"
12847,4553,1,871.54,4,1,3,"413","Recent but Infrequent"
12849,6502,2,1050.89,4,2,4,"424","Recent but Infrequent"
12851,16161,1,135.18,2,1,1,"211","Others"
12852,37249,1,311.55,1,1,2,"112","Others"
12853,19988,6,1957.1,2,5,4,"254","At Risk"
12854,13782,3,1324.5,2,3,4,"234","Others"
12855,44979,1,38.1,1,1,1,"111","Lost Customers"
12856,1425,6,2179.93,5,5,5,"555","Best Customers"
12857,28534,2,1106.4,1,2,4,"124","Others"
12863,9902,1,521.2,3,1,3,"313","Others"
12864,20538,1,147.12,2,1,1,"211","Others"
12865,5568,2,1568.23,4,2,4,"424","Recent but Infrequent"
12866,36273,1,559.12,1,1,3,"113","Others"
12867,5525,7,4036.82,4,5,5,"455","Best Customers"
12868,25844,6,1607.06,1,5,4,"154","At Risk"
12871,14443,2,380.64,2,2,2,"222","Others"
12872,40319,2,599.97,1,2,3,"123","Others"
12873,36156,1,374,1,1,2,"112","Others"
12875,21005,2,343.23,2,2,2,"222","Others"
12876,10557,2,2218.02,3,2,5,"325","Others"
12877,827,12,1535.77,5,5,4,"554","Best Customers"
12878,31260,2,854.99,1,2,3,"123","Others"
12879,8735,3,573.22,3,3,3,"333","Loyal Customers"
12881,35499,1,298,1,1,2,"112","Others"
12882,1750,2,1463.04,5,2,4,"524","Recent but Infrequent"
12883,5203,4,703.47,4,4,3,"443","Loyal Customers"
12884,15189,1,309.05,2,1,2,"212","Others"
12885,11457,3,1175.22,3,3,4,"334","Loyal Customers"
12886,12339,2,1378.4,3,2,4,"324","Others"
12888,29095,2,354.12,1,2,2,"122","Others"
12890,4961,1,380.47,4,1,2,"412","Recent but Infrequent"
12891,25753,3,331,1,3,2,"132","Others"
12893,6284,1,188.14,4,1,1,"411","Recent but Infrequent"
12895,8306,2,372.8,3,2,2,"322","Others"
12897,27748,2,216.5,1,2,1,"121","Others"
12901,1651,28,17654.54,5,5,5,"555","Best Customers"
12902,34536,1,138.68,1,1,1,"111","Lost Customers"
12904,3836,2,509.58,4,2,3,"423","Recent but Infrequent"
12906,2571,5,2919.81,5,4,5,"545","Best Customers"
12908,24495,2,750,2,2,3,"223","Others"
12909,8056,5,2178.67,3,4,5,"345","Loyal Customers"
12910,4761,8,3075.04,4,5,5,"455","Best Customers"
12912,580,5,1662.3,5,4,4,"544","Best Customers"
12913,957,5,2483.63,5,4,5,"545","Best Customers"
12915,21605,2,363.65,2,2,2,"222","Others"
12916,20563,4,3006.15,2,4,5,"245","At Risk"
12917,19317,1,594,2,1,3,"213","Others"
12919,1517,6,1335.19,5,5,4,"554","Best Customers"
12920,3530,1,164.23,4,1,1,"411","Recent but Infrequent"
12921,1741,37,16587.09,5,5,5,"555","Best Customers"
12922,22849,1,405.38,2,1,2,"212","Others"
12923,11686,1,176.97,3,1,1,"311","Others"
12924,15166,4,933.7,2,4,3,"243","At Risk"
12925,988,2,694.05,5,2,3,"523","Recent but Infrequent"
12928,7054,5,2062.7,3,4,5,"345","Loyal Customers"
12929,38722,1,117.85,1,1,1,"111","Lost Customers"
12930,13701,2,415.8,2,2,2,"222","Others"
12931,4298,15,42055.96,4,5,5,"455","Best Customers"
12933,4973,3,607.53,4,3,3,"433","Loyal Customers"
12935,5650,5,1816.92,4,4,4,"444","Best Customers"
12936,3489,4,1063.9,4,4,4,"444","Best Customers"
12937,3036,4,1504.27,4,4,4,"444","Best Customers"
12938,5405,1,114.14,4,1,1,"411","Recent but Infrequent"
12939,11729,8,11581.8,3,5,5,"355","Loyal Customers"
12940,10317,2,913.54,3,2,3,"323","Others"
12942,19694,3,683.9,2,3,3,"233","Others"
12944,7200,2,604.51,3,2,3,"323","Others"
12945,36680,1,462.95,1,1,2,"112","Others"
12947,21133,6,1603.99,2,5,4,"254","At Risk"
12948,3265,7,2064.95,4,5,5,"455","Best Customers"
12949,6366,8,4167.22,4,5,5,"455","Best Customers"
12950,1476,2,1483,5,2,4,"524","Recent but Infrequent"
12951,1557,6,1064.07,5,5,4,"554","Best Customers"
12952,1198,4,1387.79,5,4,4,"544","Best Customers"
12953,2054,1,329.85,5,1,2,"512","Recent but Infrequent"
12955,149,11,4757.16,5,5,5,"555","Best Customers"
12956,38305,1,108.07,1,1,1,"111","Lost Customers"
12957,2051,8,4017.54,5,5,5,"555","Best Customers"
12962,1236,2,266.39,5,2,2,"522","Recent but Infrequent"
12963,1536,8,1856.63,5,5,4,"554","Best Customers"
12965,15296,1,771.91,2,1,3,"213","Others"
12966,1916,1,160.18,5,1,1,"511","Recent but Infrequent"
12967,42268,2,1660.9,1,2,4,"124","Others"
12968,17730,1,135.95,2,1,1,"211","Others"
12970,1280,4,452.24,5,4,2,"542","Big Spenders (New)"
12971,705,86,11189.91,5,5,5,"555","Best Customers"
12974,26886,1,144.8,1,1,1,"111","Lost Customers"
12976,28708,1,738.6,1,1,3,"113","Others"
12977,22422,1,39.24,2,1,1,"211","Others"
12980,22670,9,7374.9,2,5,5,"255","At Risk"
12981,6001,2,372.22,4,2,2,"422","Recent but Infrequent"
12982,31941,1,390.54,1,1,2,"112","Others"
12984,3863,1,97.5,4,1,1,"411","Recent but Infrequent"
12985,5719,1,754.38,4,1,3,"413","Recent but Infrequent"
12987,13094,2,558.7,2,2,3,"223","Others"
12988,37124,1,535.32,1,1,3,"113","Others"
12989,612,15,6924.11,5,5,5,"555","Best Customers"
12990,6516,3,409.5,4,3,2,"432","Others"
12991,4742,2,503.76,4,2,3,"423","Recent but Infrequent"
12993,4733,4,414.76,4,4,2,"442","Others"
12994,898,3,974.42,5,3,4,"534","Loyal Customers"
